Origin,Destination,Quantity,Departure,Arrival
AA,VWX,210,1/9/17 4:00,1/14/17 9:50
AA,VWX,216,1/9/17 4:00,1/18/17 18:46
AA,VWX,8,1/12/17 4:00,1/20/17 19:50
AA,VWX,402,1/16/17 4:00,1/21/17 9:28
AA,VWX,6,1/16/17 4:00,1/21/17 9:28
AA,VWX,6,1/19/17 4:00,1/28/17 9:31
AA,VWX,16,1/19/17 4:00,1/28/17 9:31
AA,VWX,16,1/23/17 4:00,1/30/17 20:18
AA,VWX,390,1/23/17 4:00,1/30/17 20:18
AA,VWX,21,1/26/17 16:48,2/1/17 19:20
AA,VWX,16,1/30/17 3:21,2/3/17 20:10
AA,VWX,246,1/30/17 4:00,2/3/17 20:10
AA,VWX,40,2/2/17 4:00,2/8/17 19:38
AA,VWX,354,2/6/17 4:00,2/10/17 18:53
AA,VWX,16,2/6/17 4:00,2/10/17 20:01
AA,VWX,9,2/7/17 14:27,2/10/17 20:01
AA,VWX,16,2/9/17 4:00,2/15/17 19:54
AA,VWX,30,2/13/17 4:00,2/18/17 9:03
AA,VWX,24,2/13/17 4:00,2/18/17 9:03
AA,VWX,288,2/13/17 4:00,2/18/17 9:03
AA,VWX,6,2/13/17 4:26,2/18/17 9:03
AA,VWX,16,2/16/17 4:00,2/22/17 20:07
AA,VWX,396,2/20/17 4:00,2/24/17 20:06
AA,VWX,12,2/20/17 4:00,2/24/17 20:06
AA,VWX,6,2/20/17 4:00,2/28/17 7:44
AA,VWX,16,2/23/17 3:50,3/1/17 20:29
BB,VWX,8,1/5/17 4:00,1/12/17 7:41
BB,VWX,55,1/5/17 4:00,1/11/17 15:21
BB,VWX,6,1/9/17 4:00,1/13/17 22:25
BB,VWX,528,1/9/17 4:00,1/13/17 11:29
BB,VWX,8,1/12/17 4:00,1/18/17 11:34
BB,VWX,402,1/16/17 4:00,1/20/17 11:10
BB,VWX,48,1/18/17 4:00,1/25/17 11:06
BB,VWX,71,1/19/17 4:00,1/25/17 11:06
BB,VWX,420,1/23/17 4:00,1/27/17 11:43
BB,VWX,84,1/23/17 4:00,1/27/17 11:43
BB,VWX,30,1/23/17 4:00,1/27/17 11:43
BB,VWX,16,1/23/17 4:00,1/27/17 11:43
BB,VWX,6,1/23/17 4:00,1/27/17 11:43
BB,VWX,40,1/26/17 4:00,2/1/17 11:31
BB,VWX,330,1/30/17 4:00,2/3/17 11:24
BB,VWX,16,1/30/17 4:00,2/3/17 11:24
BB,VWX,87,1/30/17 10:45,2/3/17 11:24
BB,VWX,43,1/30/17 16:02,2/3/17 11:24
BB,VWX,8,2/2/17 4:00,2/8/17 11:15
BB,VWX,6,2/2/17 4:00,2/8/17 11:15
BB,VWX,240,2/6/17 4:00,2/10/17 11:09
BB,VWX,24,2/6/17 4:00,2/10/17 11:09
BB,VWX,18,2/7/17 14:27,2/10/17 11:09
BB,VWX,30,2/9/17 4:00,2/15/17 11:17
BB,VWX,362,2/13/17 4:00,2/17/17 23:41
BB,VWX,48,2/13/17 4:00,2/17/17 23:41
BB,VWX,41,2/14/17 12:24,2/17/17 23:41
BB,VWX,8,2/16/17 4:00,2/22/17 22:30
BB,VWX,8,2/23/17 4:00,3/1/17 23:29
BB,VWX,24,2/24/17 12:00,3/3/17 11:40
CC,VWX,40,1/5/17 4:00,1/13/17 1:25
CC,VWX,72,1/5/17 4:00,1/13/17 2:14
CC,VWX,44,1/5/17 4:00,1/13/17 2:14
CC,VWX,8,1/9/17 4:00,1/17/17 20:25
CC,VWX,155,1/9/17 4:00,1/17/17 6:49
CC,VWX,553,1/9/17 4:00,1/16/17 11:55
CC,VWX,12,1/9/17 4:00,1/16/17 11:55
CC,VWX,18,1/9/17 4:00,1/17/17 6:49
CC,VWX,12,1/9/17 4:00,1/16/17 11:55
CC,VWX,267,1/9/17 4:00,1/16/17 11:55
CC,VWX,90,1/9/17 4:00,1/16/17 11:55
CC,VWX,8,1/9/17 4:19,1/17/17 6:49
CC,VWX,24,1/12/17 4:00,1/19/17 4:28
CC,VWX,24,1/16/17 3:22,1/20/17 8:42
CC,VWX,695,1/16/17 3:22,1/20/17 8:42
CC,VWX,18,1/16/17 4:00,1/24/17 13:54
CC,VWX,6,1/19/17 4:00,1/26/17 11:28
CC,VWX,96,1/19/17 4:00,1/26/17 11:28
CC,VWX,24,1/23/17 4:00,2/1/17 7:52
CC,VWX,522,1/23/17 4:00,2/1/17 7:52
CC,VWX,54,1/23/17 4:00,1/31/17 4:25
CC,VWX,8,1/23/17 4:00,1/31/17 4:25
CC,VWX,324,1/23/17 4:00,1/31/17 4:25
CC,VWX,6,1/26/17 4:00,2/2/17 11:45
CC,VWX,72,1/26/17 4:00,2/2/17 11:45
CC,VWX,192,1/26/17 16:48,2/2/17 7:58
CC,VWX,46,1/30/17 4:00,2/6/17 2:59
CC,VWX,321,1/30/17 4:00,2/7/17 7:31
CC,VWX,159,1/30/17 4:00,2/8/17 7:50
CC,VWX,1028,1/30/17 4:00,2/7/17 7:31
CC,VWX,24,1/30/17 4:00,2/7/17 6:54
CC,VWX,98,1/30/17 10:45,2/8/17 7:50
CC,VWX,51,1/30/17 10:45,2/6/17 2:59
CC,VWX,39,1/30/17 16:02,2/6/17 2:59
CC,VWX,69,1/31/17 9:49,2/6/17 2:59
CC,VWX,24,2/2/17 4:00,2/11/17 13:34
CC,VWX,24,2/6/17 4:00,2/12/17 19:43
CC,VWX,11,2/6/17 4:00,2/11/17 8:19
CC,VWX,15,2/6/17 4:00,2/11/17 8:19
CC,VWX,6,2/6/17 4:00,2/11/17 8:19
CC,VWX,1214,2/6/17 4:00,2/11/17 8:19
CC,VWX,30,2/6/17 4:00,2/12/17 7:56
CC,VWX,12,2/6/17 4:00,2/12/17 7:56
CC,VWX,6,2/6/17 4:00,2/12/17 7:56
CC,VWX,12,2/6/17 9:44,2/11/17 8:19
CC,VWX,54,2/7/17 14:27,2/12/17 19:43
CC,VWX,108,2/7/17 14:27,2/11/17 8:19
CC,VWX,8,2/9/17 4:00,2/16/17 1:59
CC,VWX,24,2/9/17 4:00,2/16/17 1:59
CC,VWX,48,2/9/17 4:00,2/16/17 1:59
CC,VWX,8,2/9/17 4:00,2/16/17 1:59
CC,VWX,6,2/9/17 4:00,2/16/17 1:59
CC,VWX,1392,2/13/17 4:00,2/22/17 0:40
CC,VWX,6,2/13/17 4:00,2/22/17 9:10
CC,VWX,6,2/13/17 4:00,2/22/17 9:10
CC,VWX,8,2/13/17 4:00,2/22/17 9:10
CC,VWX,42,2/14/17 12:22,2/22/17 9:10
CC,VWX,76,2/16/17 4:00,2/22/17 9:10
CC,VWX,24,2/20/17 3:17,2/26/17 23:59
CC,VWX,18,2/20/17 4:00,2/26/17 23:59
CC,VWX,6,2/20/17 4:00,2/27/17 7:51
CC,VWX,174,2/20/17 4:00,2/26/17 23:59
CC,VWX,54,2/20/17 4:00,2/26/17 23:59
CC,VWX,198,2/20/17 4:00,2/27/17 7:51
CC,VWX,1201,2/20/17 4:00,2/26/17 23:59
CC,VWX,7,2/23/17 4:00,3/1/17 12:31
CC,VWX,48,2/23/17 4:00,3/1/17 12:31
CC,VWX,84,2/24/17 12:00,3/5/17 7:51
CC,VWX,63,2/24/17 12:00,3/5/17 7:51
DD,VWX,40,1/5/17 4:00,1/11/17 8:37
DD,VWX,606,1/9/17 4:00,1/13/17 11:14
DD,VWX,16,1/12/17 4:00,1/18/17 11:34
DD,VWX,18,1/16/17 4:00,1/20/17 20:01
DD,VWX,10,1/16/17 4:00,1/20/17 12:39
DD,VWX,294,1/16/17 4:00,1/20/17 20:01
DD,VWX,48,1/19/17 4:00,1/25/17 12:12
DD,VWX,419,1/23/17 4:00,1/27/17 12:45
DD,VWX,12,1/23/17 4:00,1/27/17 12:45
DD,VWX,40,1/26/17 4:00,2/1/17 12:37
DD,VWX,12,1/26/17 4:00,2/1/17 12:37
DD,VWX,48,1/26/17 16:48,2/1/17 12:37
DD,VWX,396,1/30/17 4:00,2/3/17 11:34
DD,VWX,129,1/30/17 10:45,2/3/17 12:49
DD,VWX,80,2/2/17 4:00,2/8/17 11:10
DD,VWX,300,2/6/17 4:00,2/10/17 12:16
DD,VWX,24,2/7/17 14:27,2/10/17 12:16
DD,VWX,6,2/9/17 4:00,2/15/17 8:43
DD,VWX,16,2/9/17 4:00,2/15/17 8:43
DD,VWX,186,2/13/17 4:00,2/16/17 22:28
DD,VWX,150,2/13/17 4:00,2/17/17 11:57
DD,VWX,19,2/20/17 4:00,2/24/17 10:36
DD,VWX,5,2/20/17 4:00,2/24/17 10:36
DD,VWX,314,2/20/17 4:00,2/24/17 10:36
AA,STU,64,1/16/17 4:00,1/24/17 0:14
AA,STU,240,1/23/17 4:00,1/30/17 21:03
AA,STU,60,1/30/17 11:52,2/27/17 20:36
AA,STU,60,1/30/17 11:52,3/6/17 9:33
AA,STU,144,2/6/17 4:00,2/13/17 20:51
AA,STU,48,2/20/17 4:00,2/27/17 20:36
BB,STU,64,1/9/17 4:00,1/20/17 22:28
BB,STU,484,1/23/17 4:00,1/27/17 19:51
BB,STU,64,1/30/17 4:00,2/3/17 20:41
BB,STU,120,1/30/17 11:52,3/13/17 19:27
BB,STU,60,1/30/17 11:52,3/6/17 19:26
BB,STU,60,1/30/17 11:52,2/27/17 21:12
BB,STU,60,1/30/17 11:55,2/9/17 19:25
BB,STU,72,2/6/17 4:00,2/13/17 19:16
BB,STU,24,2/20/17 4:00,2/27/17 21:12
BB,STU,60,2/20/17 4:00,2/27/17 21:12
CC,STU,64,1/9/17 4:00,1/20/17 21:51
CC,STU,134,1/9/17 4:00,1/23/17 14:55
CC,STU,120,1/23/17 4:00,1/30/17 8:22
CC,STU,184,1/30/17 4:00,2/4/17 7:34
CC,STU,180,1/30/17 11:52,3/7/17 10:53
CC,STU,60,1/30/17 11:52,2/27/17 21:24
CC,STU,60,1/30/17 11:52,3/6/17 19:23
CC,STU,24,2/6/17 4:00,2/13/17 19:42
CC,STU,60,2/6/17 4:00,2/13/17 19:42
CC,STU,30,2/13/17 4:00,2/17/17 22:35
CC,STU,24,2/20/17 4:00,2/27/17 21:24
CC,STU,36,2/20/17 4:00,2/27/17 21:24
DD,STU,1084,1/23/17 4:00,1/27/17 14:21
DD,STU,7,1/23/17 4:00,1/30/17 8:10
DD,STU,112,1/23/17 4:00,1/27/17 14:21
DD,STU,120,1/30/17 4:00,2/7/17 9:54
DD,STU,274,1/30/17 11:52,2/27/17 19:50
DD,STU,180,1/30/17 11:52,3/6/17 20:43
DD,STU,30,1/30/17 11:52,2/18/17 8:00
DD,STU,180,1/30/17 11:52,3/13/17 19:22
DD,STU,30,1/30/17 11:53,2/18/17 8:00
DD,STU,60,1/30/17 11:55,2/9/17 19:28
DD,STU,180,2/13/17 4:00,2/17/17 19:26
DD,STU,82,2/20/17 4:00,2/27/17 19:50
